,word,count
0,막걸리,360
1,느린마을,183
2,계절,1
3,유통기한,7
4,기한,6
5,상관,1
6,배송,197
7,항상,58
8,만족,11
9,숙취,7
10,제품,24
11,구매,72
12,포장,17
13,역시,38
14,사람,5
15,가격,44
16,대비,8
17,상품,25
18,달달,17
19,건강,4
20,목넘김,17
21,부모,1
22,추천,39
23,재료,1
24,자주,20
25,전용,40
26,가성비,17
27,정말,15
28,제대로,1
29,아부지,2
30,한번,7
31,주문,44
32,스파클링,16
33,신맛,1
34,아주,41
35,생각,8
36,마음,12
37,여태,1
38,평소,2
39,가장,7
40,프라,1
41,스틱,1
42,유리컵,5
43,떱텁,1
44,승부,1
45,탄산,11
46,도착,24
47,사은품,11
48,머리,3
49,제로,1
50,이번,17
51,하루,7
52,거의,3
53,단맛,7
54,행사,10
55,사이다,1
56,입맛,5
57,매번,12
58,혈액,1
59,순환,1
60,하니,4
61,믿음,1
62,배상면주가,26
63,다음,5
64,최고,62
65,하루하루,1
66,느므,1
67,송이,6
68,저녁,5
69,한잔,6
70,처음,15
71,부모님,3
72,신랑,6
73,남편,5
74,대요,2
75,마트,11
76,상큼,2
77,존맛탱,1
78,쭉쭉,2
79,가요,3
80,어제,2
81,살짝,4
82,오늘,5
83,제육,1
84,일반,7
85,우유,5
86,다른,12
87,느낌,5
88,바로,5
89,김치,1
90,냉장고,4
91,가끔,7
92,택배,6
93,매일,4
94,소시,1
95,몰래,1
96,예전,5
97,증정,6
98,유리나,1
99,도자기,1
100,하나,4
101,사진,2
102,수령,2
103,숙성,11
104,유리,15
105,후기,3
106,보고,6
107,쵝오,2
108,서울,2
109,감사,8
110,할인,10
111,순당,2
112,일해,1
113,족발,1
114,감미료,9
115,인지,1
116,시간,7
117,언제,6
118,플라스틱,3
119,실용,1
120,변질,1
121,걱정,1
122,다행,2
123,장수,2
124,약간,5
125,고소,1
126,벌써,1
127,여러,4
128,차례,1
129,편의,1
130,점용,1
131,쿠폰,2
132,때문,4
133,미시,1
134,마누라,1
135,느막,4
136,아빠,3
137,자연,1
138,그대로,2
139,여기,11
140,술맛,2
141,예술,1
142,구입,26
143,거리,3
144,젛아,2
145,품질,5
146,총알,1
147,매우,5
148,특가,1
149,팔면,1
150,마마,1
151,마침,2
152,비도,1
153,별로,4
154,달작함,1
155,적극,5
156,한국,1
157,대형,2
158,판매,3
159,오프라인,1
160,요부,2
161,프로,1
162,모션,1
163,진행,1
164,상태,4
