,word,count
0,보지,2
1,여러,38
2,종류,20
3,재미,9
4,나름,4
5,우리,6
6,전통주,15
7,막걸리,641
8,취향,22
9,동네,2
10,가지,19
11,주문,153
12,스타일,20
13,탄산,149
14,단가,1
15,대비,13
16,느낌,68
17,미가,2
18,드라이,97
19,한번,21
20,도전,3
21,단맛,145
22,진짜,28
23,거의,19
24,명섭,8
25,나라,1
26,마을,5
27,인공,8
28,감미료,16
29,거구,1
30,가격,70
31,음식점,1
32,다른,42
33,기억,4
34,대박,3
35,처음,30
36,가성비,39
37,제일,34
38,스파클링,40
39,메리트,1
40,배송,275
41,거나,1
42,선호,138
43,구매,112
44,하나,19
45,추가,3
46,이면,3
47,강추,11
48,이번,22
49,제품,28
50,상품,32
51,라벨,1
52,포장,202
53,질리,8
54,슴슴하,4
55,리만,1
56,냉장고,11
57,맥주,10
58,슬슬,1
59,시기,2
60,만족,22
61,항상,47
62,사용,7
63,그거,1
64,마시기,44
65,유통,18
66,기한,18
67,적당,2
68,개인,20
69,도로,1
70,듭니,3
71,첨가,16
72,절대,2
73,전혀,12
74,슴슴,8
75,달달,22
76,베리,3
77,합리,1
78,일반,8
79,여름,8
80,조금,31
81,뚜껑,3
82,약간,21
83,뒷맛,8
84,쌀밥,1
85,정도,16
86,식사,5
87,반주,9
88,부담,13
89,안단,2
90,추천,48
91,싱싱,2
92,이건,11
93,아예,5
94,명성,1
95,그닥,2
96,송상,1
97,태도,2
98,다음,38
99,해영,1
100,리뷰,9
101,안달,15
102,이틀,1
103,아이스,25
104,박스,7
105,시중,2
106,판매,4
107,물이,4
108,호불호,17
109,갈릴,5
110,살짝,15
111,산미,8
112,생각,39
113,오늘,3
114,단백,4
115,청량감,36
116,술맛,5
117,후기,7
118,이유,7
119,제격,3
120,동해,2
121,소주,8
122,기대,37
123,신경,3
124,산도,4
125,쩔어요,1
126,장수,15
127,베스트,6
128,매력,9
129,밍밍,15
130,의사,15
131,합성,3
132,편이,8
133,문제,3
134,재배,2
135,이후,5
136,송된,1
137,일단,13
138,남아,2
139,나중,3
140,마켓,23
141,요즘,16
142,대형,2
143,마트,9
144,가족,7
145,라며,1
146,보리,1
147,아주,79
148,전주,2
149,그냥,12
150,기류,1
151,찌개,1
152,목넘김,31
153,자주,35
154,이용,17
155,송이,8
156,하루,6
157,나위,1
158,모든,6
159,음식,17
160,원래,10
161,탁주,13
162,가운,1
163,상태,26
164,평이,7
165,구입,14
166,신속,2
167,인기,8
168,별로,28
169,정기,2
170,금정산성,2
171,무난,14
172,제로,2
173,사이다,3
174,부모님,17
175,계속,26
176,빈대떡,2
177,역시,17
178,인위,2
179,가성,17
180,최고,72
181,산감,2
182,우린,1
183,비도,2
184,일등,1
185,포스,1
186,무아,7
187,스타,1
188,체고,1
189,신맛,13
190,가득,4
191,과정,2
192,누구,2
193,박주,1
194,일수,1
195,옛날,5
196,소환,1
197,수도,4
198,구멍,1
199,풍기면,1
200,티슈,1
201,보관,2
202,때문,8
203,찻엇,1
204,금방,4
205,세지,2
206,재주,16
207,대여섯,1
208,개별,2
209,방법,1
210,송료,1
211,편의,2
212,별도,1
213,쿨링,1
214,유리,1
215,에어,3
216,파손,3
217,우려,1
218,입맛,27
219,성공,1
220,단골,1
221,상하,1
222,봉투,1
223,포함,1
224,엇습,2
225,됀찮네,1
