,word,count
0,탄산,186
1,평소,13
2,막걸리,448
3,별로,10
4,이건,19
5,선물,571
6,감칠맛,6
7,자꾸만,1
8,생각,38
9,복순도가,186
10,역시,63
11,분도,13
12,항상,77
13,상품,27
14,산미,17
15,유통,14
16,기한,14
17,다른,38
18,그것,1
19,장마,1
20,포장,109
21,출고,2
22,상큼,27
23,일품,6
24,고급,22
25,세상,4
26,쿠폰,1
27,조금,24
28,주문,185
29,워낙,8
30,일본인,1
31,지인,52
32,주니,2
33,캠핑,6
34,가지,5
35,중순,1
36,식당,2
37,마로,1
38,구입,41
39,배송,275
40,다만,4
41,혹시,5
42,스티로폼,5
43,용기,2
44,세로,1
45,전혀,5
46,개인,4
47,의견,1
48,사이다,15
49,요구르트,8
50,뚜껑,17
51,고유,1
52,부모님,46
53,차주,1
54,처가,1
55,한번,27
56,예정,12
57,매우,19
58,의사,6
59,스파,21
60,와인,22
61,달이,4
62,오픈,11
63,숙성,10
64,송이,7
65,다시,20
66,고민,8
67,수고,1
68,칵테일,2
69,샴페인,44
70,느낌,30
71,알콜,10
72,수가,4
73,마시기,18
74,대신,8
75,서민,1
76,여럿,1
77,부담,11
78,가격,54
79,차별,2
80,화가,2
81,값어치,1
82,자주,57
83,특별,2
84,사람,42
85,손색,5
86,구매,174
87,아이스,19
88,여러,9
89,박스,9
90,자꾸,13
91,가끔,17
92,아빠,14
93,조화,1
94,장난,5
95,아주,55
96,타고,1
97,난리,7
98,그냥,15
99,음료수,5
100,대면,1
101,모금,5
102,최고,103
103,진짜,68
104,달콤,3
105,음식,18
106,어울림,2
107,음주,1
108,오늘,6
109,만큼,14
110,특색,1
111,특유,10
112,처음,44
113,의아,2
114,지금,3
115,오히려,3
116,일부러,3
117,먹기,32
118,정도,14
119,증폭,1
120,당일,28
121,가능,1
122,해지,4
123,감사,12
124,톡톡,7
125,탁주,2
126,드라이,3
127,도전,1
128,무척,1
129,할인,8
130,기도,2
131,우리,5
132,냉장고,12
133,여름,2
134,매번,29
135,소문,9
136,기대,14
137,다음,37
138,햇습니,1
139,청량감,11
140,말씀,2
141,신분,1
142,정말,94
143,공감,1
144,회식,4
145,살짝,6
146,호불호,11
147,첨가,1
148,물이,3
149,속도,2
150,아버지,11
151,이용,15
152,제품,38
153,묶음,1
154,사진,14
155,대체,2
156,외국,2
157,손님,10
158,날씨,3
159,예상,2
160,스타일,5
161,판매,1
162,달라,9
163,조만간,5
164,명품,7
165,하나,18
166,기억,12
167,번창,17
168,벌써,13
169,버럈,1
170,음료,4
171,요거트,1
172,파손,1
173,번개,1
174,처럼,2
175,순간,3
176,찌릿,1
177,인생,15
178,완전,25
179,저번,3
180,재주,21
181,만조,1
182,계속,21
183,등산,1
184,가면,2
185,천상,1
186,원래,17
187,애정,5
188,다운,1
189,가족,58
190,모임,26
191,주류,3
192,강추,7
193,신맛,13
194,과연,1
195,부산,4
196,여행,5
