,word,count
0,유통,23
1,기한,23
2,정도,9
3,배송,211
4,이건,9
5,한번,28
6,주문,200
7,가격,34
8,성비,6
9,시간,12
10,신맛,55
11,아주,65
12,걸죽,34
13,계속,28
14,가끔,19
15,금정산성,146
16,막걸리,788
17,차케됙니,1
18,마켓,7
19,항상,66
20,평소,8
21,그냥,6
22,달달,24
23,호불호,24
24,현대,1
25,백화점,4
26,판매,7
27,금정산,20
28,이름,2
29,출시,1
30,다시,16
31,지인,33
32,번창,19
33,선물,63
34,도수,16
35,만원,1
36,천원,1
37,명인,8
38,명품,5
39,이면,1
40,충분,1
41,처음,42
42,추천,33
43,고니,1
44,특성,1
45,조금,30
46,개인,16
47,다음,22
48,제품,48
49,구매,123
50,다른,59
51,코리아,3
52,넘버원,3
53,일반,20
54,파전,3
55,도착,15
56,기대,32
57,기억,11
58,역시,52
59,산정,1
60,마시기,5
61,가성,3
62,가장,13
63,애정,1
64,부산,51
65,직접,6
66,가지,16
67,언제,5
68,명성,6
69,그대로,12
70,정말,49
71,최고,87
72,압니,2
73,미가,11
74,균형,2
75,주어,1
76,단맛,51
77,술술,1
78,반제품,1
79,고급,7
80,특징,3
81,자꾸,6
82,단점,3
83,합성,2
84,감미료,5
85,청량감,4
86,만족,11
87,포함,1
88,매력,17
89,지존,5
90,무난,2
91,로만,1
92,택배,18
93,목넘김,42
94,유산균,8
95,느낌,39
96,포장,97
97,하나,26
98,아이스,26
99,물이,6
100,흥건,1
101,자주,32
102,아빠,19
103,꿀쩍,1
104,워낙,6
105,전통주,13
106,대중,1
107,부모님,27
108,옛날,66
109,도로,2
110,마트,16
111,구입,24
112,이번,37
113,파티,2
114,마무리,2
115,서울,12
116,설명,5
117,종류,15
118,별로,33
119,우리나라,5
120,입맛,40
121,주위,3
122,사람,22
123,보라,1
124,권유,1
125,감사,6
126,시도,1
127,시중,18
128,차이,8
129,요새,1
130,냉용,1
131,금방,6
132,독보,3
133,말로,2
134,매우,20
135,적응,3
136,수도,8
137,여러,25
138,약간,30
139,플릭스,2
140,더욱,3
141,아버지,25
142,달리,3
143,친구,9
144,슴니,1
145,어뇨,1
146,탁주,6
147,과일,3
148,탄산,42
149,텁텁,4
150,질감,2
151,산미,50
152,골뱅이,1
153,두부,2
154,사랑,2
155,고향,9
156,살짝,22
157,안구,1
158,쌔영,1
159,파손,3
160,습니,1
161,예전,25
162,끝맛,8
163,의향,2
164,변치,2
165,걸죽함,3
166,평이,1
167,예정,9
168,원래,10
169,감천,1
170,불랙,1
171,누룩,95
172,요즘,15
173,최애,4
174,나라,2
175,단술,1
176,떫은맛,1
177,전통,26
178,음식,8
179,시골,13
180,두렁,1
181,바디,8
182,청주,1
183,첨부,1
184,우리,13
185,사업,2
186,먹기,16
187,하규,1
188,숙성,26
189,대대,2
190,블루,1
191,사진,6
192,지니,1
193,생각,55
194,이용,13
195,특유,22
196,저기,1
197,대포,1
198,하나라,1
199,포만,1
200,베스트,3
201,번은,2
202,털털,2
203,슈퍼,3
204,스타일,7
205,보통,7
206,보시,3
207,기복,1
208,심해,1
209,그게,2
210,함정,1
211,온라인,4
212,스파,6
213,타입,1
214,크리,4
215,중이,3
216,장수,7
217,필요,2
218,인위,4
219,전혀,2
220,뻑뻑,2
221,프리미엄,1
222,농도,7
223,자리,1
224,하루,11
225,남자,1
226,쓴맛,1
227,대박,1
228,인터넷,10
229,박막,1
230,진짜,27
231,달라,11
232,때문,5
233,바나나,1
234,정산,11
235,얼음,5
236,미지,1
237,효모,5
238,냄새,15
239,일품,10
240,달기,1
241,제주,5
242,임자,1
243,안주,2
244,부담,4
245,이틀,1
246,변비,4
247,진가,1
248,발휘,1
249,형태,1
250,취향,13
251,모두,8
252,동주,2
253,눈곳,1
254,해창,4
255,구래,1
256,장난,1
257,국내,1
258,제일,20
259,매번,19
260,버진,1
261,만족도,3
262,으른,2
263,쌨네,1
264,주류,5
265,박람회,1
266,바로,24
267,떡볶이,1
268,치킨,1
269,조합,3
270,상태,12
271,품질,5
272,스승,1
273,재주,23
274,인생,3
275,실망,4
276,후의,1
277,장인,5
278,어른,12
279,맛닜어,1
280,지질,1
281,작년,6
282,사이트,1
283,발효,11
284,남편,23
285,허니,3
286,비교,7
287,요소,1
288,량씩,1
289,최근,6
290,차원,3
291,로써,1
292,페어,1
293,개성,4
294,탄산수,1
295,사용,3
296,이해,2
297,감귤,1
298,와우,1
299,상품,22
300,도전,3
301,여타,1
302,욕구,1
303,맙습,1
304,넷플릭스,2
305,시지,1
306,상큼,5
307,저희,5
308,의사,9
309,단아,1
310,어머니,7
311,부분,3
312,강추,7
313,어요,3
314,할머니,3
315,곡주,2
316,스탈,2
317,중인,1
318,자체,4
319,여서,2
320,구들,2
321,막믈리,1
322,나머지,1
323,전집,2
