,word,count
0,배송,256
1,구매,118
2,달달,186
3,막걸리,521
4,사람,12
5,전통주,19
6,계속,21
7,예정,12
8,주변,8
9,추천,58
10,주문,200
11,술술,15
12,가요,7
13,덕분,7
14,주말,4
15,종류,19
16,정말,79
17,단골,6
18,여러,26
19,진짜,71
20,난리,2
21,사업,5
22,번창,11
23,대대포블루,173
24,저번,5
25,숙성,1
26,성비,6
27,일도,1
28,부담,15
29,포장,166
30,누가,1
31,꿀맛,27
32,마시기,61
33,탄산,79
34,세지,4
35,느낌,40
36,오프라인,6
37,인터넷,17
38,검색,3
39,항상,34
40,여행,1
41,도착,21
42,하루,10
43,수령,1
44,이번,17
45,역시,42
46,찾기,1
47,위해,4
48,이건,17
49,다른,43
50,용량,2
51,사진,10
52,달구리,3
53,최고,65
54,이용,16
55,생각,34
56,목넘김,66
57,용이,1
58,배달,3
59,단맛,49
60,탁주,7
61,모든,5
62,매우,14
63,송이,10
64,아이스,18
65,날씨,5
66,차단,1
67,박스,16
68,자주,32
69,사이트,2
70,종종,8
71,매번,9
72,기대,45
73,처음,32
74,상품,24
75,입맛,19
76,음식점,3
77,병사,1
78,은근,2
79,취기,1
80,대장,1
81,해창,6
82,위스키,1
83,안동,2
84,아주,65
85,우도,1
86,땅콩,1
87,유튱가한,1
88,참고,3
89,개인,11
90,감미료,4
91,위주,2
92,유통기한,38
93,숙취,14
94,알콜,6
95,골목,1
96,조금,31
97,감사,9
98,브렀,1
99,후기,11
100,제일,41
101,스파,5
102,선물,52
103,남편,6
104,구입,13
105,리뷰,19
106,다시,10
107,제품,31
108,달도,1
109,걸리,1
110,와이프,5
111,상태,28
112,이닝,1
113,제대로,3
114,편백,1
115,산소,1
116,부모님,20
117,이화,2
118,백주,2
119,입안,2
120,톡톡,2
121,걸죽,3
122,편이,10
123,여서,5
124,바디,8
125,나루,2
126,평균,1
127,전반,1
128,다음,50
129,추가,9
130,배기,1
131,부지,1
132,만족도,3
133,취했,1
134,정신,1
135,별로,24
136,투브,2
137,정도,13
138,었습니,2
139,밍밍,7
140,여자,9
141,안주,16
142,가면,3
143,밸런스,4
144,중점,1
145,수도,5
146,달콤,5
147,하닝,1
148,하나,27
149,친구,23
150,보기,4
151,뚜껑,9
152,걸이,2
153,특유,10
154,신맛,5
155,도수,12
156,적당,2
157,육류,1
158,해산물,1
159,채소,1
160,어울림,2
161,인생,8
162,적극,1
163,예상,1
164,일품,7
165,구들,5
166,모두,12
167,꿀떡,6
168,대상,5
169,평소,6
170,뒷맛,4
171,장모님,4
172,잔뜩,1
173,사서,6
174,특색,1
175,보지,4
176,오늘,5
177,김치,2
178,전이,11
179,어서,2
180,런가,4
181,해도,2
182,거의,8
183,답지,1
184,매력,2
185,음료수,7
186,호평,1
187,냉장,3
188,물이,1
189,흥건,1
190,거실,1
191,살짝,16
192,장가,1
193,고요,7
194,더욱,3
195,우리,7
196,스타일,7
197,약간,27
198,가격,31
199,취향,10
200,지금,8
201,페트병,1
202,부분,9
203,검수,1
204,식당,10
205,재료,4
206,마트,15
207,판매,9
208,이제야,1
209,소홀,1
210,혼자,3
211,소개,4
212,이만,2
213,아보,1
214,실사,1
215,가족,9
216,술집,10
217,여니,1
218,그냥,20
219,또한,2
220,유명,4
221,기만,1
222,음식,8
223,페어,2
224,어려움,1
225,맜있어,1
226,명품,1
227,총알,1
228,편입,2
229,청량감,4
230,음료,7
231,하이,5
232,이인,1
233,세한,1
234,간의,1
235,요구르트,5
236,워낙,7
237,한번,8
238,향도,2
239,바로,18
240,휴가,3
241,있어욤,1
242,관련,3
243,피드백,1
244,재미,2
245,개별,3
246,얼음,10
247,과일,1
248,상하,1
249,택배,11
250,전보,1
251,중이,5
252,검지,1
253,무엇,8
254,평생,1
255,제조,9
256,무난,14
257,얼마,4
258,남지,2
259,고객,2
260,여유,2
261,별루,1
262,보아,1
263,안달,1
264,엇습,2
265,이유,6
266,의사,17
267,일자,4
268,비교,6
269,최신,1
270,순삭,5
271,대비,6
272,밍숭맹숭해,1
273,후루룩,1
274,머리,8
275,굳이,1
276,롯데,1
277,판다,1
278,생주,1
279,어제,3
280,벌써,5
281,금정산,1
282,좀더,3
283,소문,5
284,문갑,1
285,지인,17
286,모금,1
287,절로,2
288,웃음,1
289,이제,6
290,가장,15
291,오히려,2
