,word,count
0,고급,44
1,지고,10
2,제품,26
3,품질,6
4,배송,224
5,모두,15
6,가격,65
7,손님,18
8,주문,198
9,산도,11
10,이예,2
11,스파클링,33
12,완전,21
13,보장,2
14,최고,98
15,어버이날,10
16,선물,380
17,탄산,261
18,가족,47
19,막걸리,500
20,처음,60
21,라며,4
22,다음,53
23,항상,31
24,시댁,6
25,방문,2
26,친구,61
27,시간,12
28,저희,13
29,시아버지,1
30,역시,45
31,트름,2
32,술맛,6
33,무척,3
34,지인,63
35,구입,29
36,주신,2
37,기억,5
38,이번,29
39,부모님,52
40,개인,12
41,구매,144
42,무엇,4
43,아주,74
44,상품,17
45,다른,64
46,여타,1
47,브랜드,3
48,이화백주,259
49,주가,15
50,자주,55
51,전통주,10
52,이닝,1
53,제대로,5
54,편백,1
55,산소,1
56,대포,1
57,블루,1
58,입안,4
59,톡톡,9
60,걸죽,1
61,편이,10
62,여서,4
63,바디,2
64,추천,46
65,나루,1
66,평균,1
67,전반,1
68,덕분,7
69,지네,2
70,종종,12
71,답니,1
72,기분,19
73,사람,18
74,캠핑,11
75,신분,2
76,하루,11
77,도착,17
78,자꾸,10
79,물자,1
80,주해,1
81,번창,9
82,소개,5
83,정말,92
84,이용,9
85,숙취,17
86,식당,13
87,뒤끝,3
88,애용,9
89,산미,10
90,기대,29
91,컨셉,1
92,애음,2
93,이제,10
94,장가,1
95,일만,2
96,저번,7
97,진짜,82
98,달달,41
99,느낌,45
100,목넘김,55
101,포장,101
102,주시,15
103,당일,5
104,사진,25
105,경황,1
106,분도,3
107,해창,1
108,블랙,1
109,신경,3
110,얼음,4
111,주머니,1
112,스티로폼,15
113,내부,1
114,엉망,3
115,물이,2
116,청와대,18
117,만찬,21
118,얼마나,2
119,냉장고,20
120,행복,1
121,한번,31
122,계속,27
123,도수,5
124,매우,17
125,대비,5
126,의향,1
127,직접,3
128,양도,6
129,인정,3
130,천상,1
131,평생,1
132,네이버,2
133,고화질,1
134,제일,22
135,엊그제,1
136,훌쩍,1
137,파티,6
138,아버지,16
139,명절,24
140,내년,1
141,드릴,5
142,예정,11
143,재품,1
144,감사,7
145,배달,7
146,리터,1
147,먼저,4
148,탄산음료,3
149,시원,3
150,지난,2
151,조금,43
152,농후,1
153,정기,1
154,술술,8
155,오픈,15
156,유의,2
157,조심,10
158,밸런스,1
159,강추,18
160,어머니,6
161,사드,1
162,렷습,1
163,술집,6
164,인터넷,13
165,내일,4
166,집들이,13
167,주점,3
168,집안,2
169,행사,8
170,준비,6
171,청량감,23
172,특유,5
173,텁텁함,4
174,대량,1
175,바로,30
176,이상,6
177,인사,2
178,남녀,3
179,노소,3
180,누구,4
181,얼마,5
182,공식,8
183,건배,6
184,퀄리티,2
185,일차,1
186,살짝,19
187,숙성,5
188,가장,6
189,품격,1
190,실망,4
191,달라,5
192,큰일,2
193,뒷맛,8
194,걸이,1
195,아빠,12
196,한잔,14
197,생각,56
198,박스,18
199,아이스,18
200,거의,3
201,종일,1
202,상태,18
203,다행,1
204,근래,1
205,바깥,1
206,날씨,5
207,냉동,1
208,수준,2
209,한지,2
210,뚜껑,31
211,사장,5
212,별도,1
