,word,count
0,가성,3
1,엄마,14
2,송도,19
3,포장,130
4,부분,3
5,파손,2
6,걸죽,55
7,점도,1
8,탄산,35
9,신맛,11
10,거의,6
11,도수,82
12,은근,5
13,취기,7
14,오름,2
15,배송,205
16,가격,71
17,최고,69
18,상품,12
19,요거트,32
20,진득,9
21,우리,2
22,아버님,5
23,참으로,1
24,주문,133
25,막걸리,612
26,음복,1
27,조상,1
28,마음,8
29,생각,52
30,해창,125
31,매번,6
32,송이,13
33,가끔,8
34,다시,10
35,개요,1
36,종종,5
37,옛날,9
38,기회,2
39,구매,115
40,사람,11
41,일전,1
42,동생,2
43,도로,7
44,처음,46
45,하나,24
46,정말,78
47,구입,10
48,주위,1
49,기분,14
50,다른,56
51,느낌,67
52,단맛,31
53,약간,29
54,달달,32
55,먹기,25
56,간식,1
57,금방,7
58,이용,11
59,거처,1
60,우주,2
61,더니,3
62,진짜,99
63,메스꺼움,20
64,짝꿍,2
65,선물,144
66,바로,29
67,술맛,8
68,입장,1
69,시중,6
70,쓰기,2
71,하니,13
72,별루,1
73,하루,11
74,이상,8
75,일주일,4
76,지인,29
77,추천,36
78,강추,10
79,필요,6
80,소문,15
81,굳이,3
82,모두,14
83,칭찬,6
84,용이,3
85,어용,3
86,술집,2
87,완전,17
88,걸이,3
89,마트,17
90,다음,45
91,도보,4
92,예전,5
93,아주,64
94,아빠,16
95,아이,4
96,도착,24
97,로켓,1
98,알콜,20
99,취해,4
100,조금,30
101,무슨,3
102,가족,27
103,계속,17
104,매하,1
105,불허,2
106,진액,1
107,듯이,1
108,완벽,1
109,역시,76
110,부모님,26
111,취함,2
112,요플레,8
113,제품,21
114,비교,9
115,냉장고,7
116,깊이,4
117,상하,1
118,아이스,16
119,주시,5
120,충전,1
121,매우,17
122,만족,19
123,여기,8
124,이번,6
125,살짝,16
126,무리,1
127,고급,11
128,흐흐,1
129,해산물,1
130,의사,13
131,선생님,1
132,어제,4
133,오늘,7
134,일반,38
135,유툽,1
136,진해,13
137,친구,31
138,생일,3
139,별로,22
140,대비,5
141,그냥,22
142,저렴,3
143,만큼,11
144,자꾸,6
145,사람과,1
146,여러분,1
147,리뷰,8
148,마을,9
149,예상,3
150,실제,1
151,성향,1
152,개인,15
153,보통,3
154,부담,6
155,파네,1
156,제일,16
157,대요,3
158,세계,1
159,원픽,1
160,수가,6
161,드니,1
162,워낙,9
163,회사,2
164,동료,1
165,무엇,5
166,여름,4
167,인터넷,11
168,뒷맛,6
169,트림,2
170,입맛,20
171,비올,1
172,비빔,1
173,국수,1
174,끝판,1
175,인분,1
176,스타일,7
177,한번,26
178,기대,44
179,대신,4
180,크리,5
181,수고,2
182,노래,1
183,남편,14
184,위해,4
185,확실,2
186,달라,5
187,지면,4
188,행복,1
189,쿠르트,1
190,먹음,3
191,유명,7
192,걸죽함,4
193,높이,1
194,어우,2
195,질감,7
196,깜짝,2
197,다만,10
198,평가,4
199,나중,8
200,사진,13
201,모해,2
202,보시,2
203,외할아버지,1
204,심부름,1
205,몰래,1
206,면서,1
207,무척,4
208,요구,1
209,평이,4
210,아버지,13
211,유튜부,1
212,난리,1
213,전문가,1
214,차이,6
215,머리,6
216,나름,2
217,해도,2
218,설명,3
219,예술,1
220,드네,4
221,숙취,13
222,미숫가루,16
223,곡물,2
224,인공,2
225,우랑,1
226,가능,1
227,군대,1
228,기억,6
229,꿀맛,2
230,무조건,3
231,종이,1
232,장식,1
233,걸쭉,6
234,이상은,2
235,편이,9
236,자주,17
237,애용,4
238,행사,2
239,감사,15
240,농도,10
241,여서,2
242,하이,4
243,모말,1
244,당일,1
245,전이,7
246,가장,7
247,뒤끝,3
248,목넘김,57
249,일품,10
250,흡사,1
251,최근,8
252,술술,4
253,찮름,1
254,준비,3
255,걱정,11
256,어르신,1
257,저번,6
258,액체,1
259,좀더,2
260,배달,9
261,무료,5
262,다가,3
263,꿀떡,7
264,이름,1
265,주로,1
266,여수,1
267,개도,1
268,내심,1
269,인지,3
270,자연,1
271,유투브,1
272,평상시,1
273,빨강,1
274,소주,6
275,맥주,2
276,와우,4
277,취하,6
278,독해,1
279,여러,9
280,가지,6
281,여자친구,1
282,극찬,5
283,기절,1
284,이제,6
285,판매,5
286,해지,1
287,쫀쫀,1
288,거리,7
289,수도,4
290,요구르트,4
291,사이다,2
292,안주,15
293,생신,3
294,저희,5
295,명절,9
296,기간,1
297,날짜,3
298,드림,1
299,단지,1
300,얼음,15
301,대가,3
302,선배,2
303,언니,3
304,했숩,1
305,두통,1
306,사서,11
307,맛보기,1
308,사려,2
309,오프라인,1
310,한정,1
311,온라인,2
312,안무,1
313,최강,1
314,바디,14
315,상담,1
316,분도,2
317,택배,10
318,때문,3
319,온갖,1
320,결론,1
321,고개,1
322,덕분,9
323,정기,2
324,줄창,1
325,불가,2
326,매장,1
327,합리,1
328,생선,1
329,자리,6
330,매일,2
331,상태,6
332,일단,12
333,어머니,4
334,올해,1
335,순이,1
336,원래,6
337,연세,1
338,세상,1
339,장점,1
340,뒷날,1
341,덜덜,1
342,집들이,3
343,호불호,11
344,쓴맛,2
345,알코올,3
346,순간,1
347,트름,1
348,병중,1
349,고가,2
350,궁금,2
351,드라이,2
352,냄새,13
353,만해,3
354,어보,1
355,엇습,2
356,항상,17
357,가요,9
358,찹쌀,8
359,미가,4
360,족발,1
361,보지,3
362,중이,6
363,산미,9
364,방송,1
365,육전,2
366,육회,1
367,언제,1
368,특유,4
369,신랑,6
370,종류,7
371,타입,2
372,았다,1
373,캠핑,5
374,엇어,5
375,잘먹엇네,1
376,인생,12
377,어른,10
378,이건,8
379,주말,7
380,제법,2
381,차원,5
382,도랑,5
383,트브,1
384,도야,1
385,자체,6
386,용량,2
387,대박,1
388,이유,7
389,성비,3
390,주변,8
391,수명,1
392,다해,1
393,의아,1
394,밸런스,1
395,효시,1
396,접촉,1
397,금정산성,1
398,조사,1
399,정책,1
400,자유,1
401,가루,2
402,프로,3
403,던데,1
404,나용,3
405,충분,1
406,재주,9
407,상큼,3
408,보장,2
409,풍자,3
410,했뉸,1
411,별미,1
412,개봉,3
413,대도,1
414,사이트,3
415,리도,2
416,그윽,1
417,답습,1
418,하하,2
419,명품,9
420,정이,1
421,모금,8
422,하자,1
423,마자,1
424,날씨,4
425,해지니,1
426,신선도,2
427,문제,2
428,생기지,1
429,지네,2
430,아양,1
431,감미료,7
432,통술,1
433,시해,2
434,두부,1
435,김치,4
436,도토리,2
437,조합,2
438,환상,1
439,폭풍,1
440,수다,1
441,그동안,1
442,스트레스,1
443,버젼,1
444,도전,6
445,쭉쭉,4
446,가용,1
447,양도,1
448,절대,1
449,주랑,3
450,궁합,2
451,창해,2
452,불호,1
453,마시기,8
454,레벨,1
455,뻑뻑,4
456,포도,2
457,임의,1
458,탁주,4
459,시간,9
460,가미,1
461,미리,3
462,해수,1
463,런가,4
464,건가,1
465,플루,3
466,언서,1
467,지역,3
468,단연,4
469,경험,3
470,요새,1
471,이슈,1
472,예약,1
473,전하,1
474,후기,1
475,질적,1
476,조선시대,1
477,화주,1
478,전날,1
479,과음,1
480,불구,2
481,기념,2
482,한잔,13
483,덕함,4
484,먼지,1
485,에스,1
486,전통,5
487,먹거리,1
488,니드,1
489,맛느,1
490,오히려,3
491,마스,1
492,가치,1
493,다행,3
494,취향,9
495,덕이,1
496,음미,3
497,여유도,1
498,주지,2
499,목구멍,1
500,신경,6
501,취했습니당,1
502,도의,1
503,조화로,1
504,고도,1
505,수라,1
506,직하,1
507,보기,3
508,요청,1
509,품격,1
