,word,count
0,하나,26
1,스트레이트,1
2,얼음,25
3,송도,15
4,포장,155
5,부분,5
6,파손,2
7,정말,58
8,배송,134
9,물건,4
10,매번,8
11,주문,102
12,도수,72
13,주의,3
14,냉매,1
15,약간,26
16,크림,6
17,가요,9
18,감미료,10
19,아빠,9
20,예정,8
21,생각,52
22,조금,48
23,지면,1
24,아주,70
25,걸죽,87
26,인공,4
27,숙취,6
28,거의,10
29,다만,5
30,알콜,13
31,금방,4
32,취하,5
33,보관,6
34,기간,3
35,막걸리,478
36,먼저,3
37,사람,16
38,개인,18
39,농도,20
40,디저트,3
41,만큼,9
42,달달,71
43,하루,4
44,한잔,7
45,전주,3
46,반주,2
47,식후,1
48,주로,2
49,아버지,12
50,바로,15
51,부침개,1
52,추천,41
53,상품,14
54,고급,19
55,탄산,40
56,목넘김,88
57,수가,9
58,기분,18
59,단맛,53
60,지기,1
61,시간,7
62,곡생,3
63,최고,42
64,수도,5
65,유랑,1
66,우유,8
67,칵테일,3
68,다른,35
69,스파,8
70,마을,14
71,가격,25
72,대비,7
73,기대,38
74,생주,48
75,여러분,2
76,가끔,2
77,선택,3
78,대박,3
79,우선,4
80,하니,12
81,찾기,2
82,냉장,2
83,술맛,8
84,마시기,11
85,연속,3
86,유통기한,43
87,이번,13
88,연한,1
89,처음,41
90,필요,4
91,슈퍼,3
92,항상,24
93,곡물,6
94,전체,4
95,바나나,7
96,산미,9
97,계피,1
98,완벽,1
99,완전,33
100,스타일,19
101,질감,11
102,요거트,36
103,역시,31
104,느낌,89
105,선물,101
106,일반,31
107,그냥,15
108,쭉쭉,3
109,크리,25
110,그대로,6
111,유지,3
112,인상,2
113,최애,1
114,신랑,8
115,가장,11
116,농협,1
117,평가,1
118,나중,6
119,살짝,16
120,탁주,17
121,미하,4
122,성비,11
123,프리미엄,28
124,입맛,19
125,숙성,9
126,바디,16
127,신맛,9
128,밸런스,4
129,오픈,3
130,경과,1
131,수록,1
132,경향,1
133,호불호,18
134,해창,21
135,대용,1
136,은근,2
137,무슨,2
138,재고,1
139,처리,3
140,매일,1
141,비교,9
142,정착,1
143,제일,19
144,사랑,1
145,한번,25
146,거도,1
147,마이,1
148,제품,21
149,병정,1
150,반했어,1
151,기사,3
152,다음,30
153,이용,7
154,슐랭,1
155,무엇,3
156,하리,1
157,취향,29
158,재주,10
159,패키지,6
160,종일,1
161,걱정,5
162,도리,1
163,드라이,3
164,전통주,7
165,친구,13
166,특급,2
167,일품,7
168,만족,6
169,걸죽함,4
170,단내,1
171,비릿,1
172,누룩,2
173,참외,4
174,따라서,1
175,머금,1
176,여서,3
177,부담,4
178,주말,3
179,오전,1
180,오후,1
181,평소,14
182,도착,18
183,가지,9
184,안주,25
185,준비,2
186,옥상,1
187,다섯,2
188,끝맛,9
189,자주,23
190,이로,1
191,차별,1
192,굿잡,1
193,감탄,1
194,수을,1
195,판매,6
196,지평,1
197,서울,1
198,자체,3
199,밍숭맹,1
200,물맛,1
201,맜있어,1
202,텍스,3
203,호사,1
204,구매,78
205,이건,10
206,갈릴,7
207,호랑이,9
208,구비,1
209,밋밋,1
210,달라,8
211,마치,2
212,사골,2
213,국물,2
214,지난,3
215,어필,2
216,와이프,2
217,일주일,4
218,가족,17
219,무사도,1
220,꿀떡,8
221,고요,10
222,시중,9
223,소하,1
224,두유,4
225,우리,2
226,더욱,2
