,word,count
0,고급,37
1,지고,10
2,제품,26
3,품질,6
4,배송,209
5,모두,13
6,가격,62
7,손님,14
8,주문,170
9,산도,9
10,이예,2
11,스파클링,31
12,완전,19
13,보장,2
14,최고,96
15,어버이날,10
16,선물,352
17,탄산,235
18,가족,44
19,막걸리,431
20,처음,48
21,라며,3
22,다음,35
23,항상,26
24,시댁,4
25,방문,1
26,친구,58
27,시간,11
28,저희,9
29,시아버지,1
30,역시,47
31,트름,2
32,술맛,6
33,무척,3
34,지인,49
35,구입,27
36,주신,1
37,기억,4
38,이번,23
39,부모님,50
40,개인,9
41,구매,141
42,무엇,4
43,아주,73
44,상품,14
45,다른,54
46,여타,1
47,브랜드,3
48,이화백주,207
49,주가,14
50,자주,48
51,전통주,10
52,이닝,1
53,제대로,5
54,편백,1
55,산소,1
56,대포,1
57,블루,1
58,입안,4
59,톡톡,9
60,지네,2
61,종종,10
62,답니,1
63,기분,15
64,사람,16
65,캠핑,6
66,신분,2
67,하루,10
68,도착,14
69,자꾸,10
70,물자,1
71,주해,1
72,번창,5
73,여서,2
74,소개,3
75,정말,89
76,이용,9
77,숙취,13
78,식당,13
79,뒤끝,3
80,애용,7
81,산미,9
82,기대,28
83,컨셉,1
84,애음,2
85,이제,8
86,장가,1
87,일만,2
88,저번,7
89,진짜,75
90,달달,37
91,느낌,37
92,목넘김,54
93,포장,97
94,주시,11
95,당일,5
96,사진,23
97,경황,1
98,분도,3
99,해창,1
100,블랙,1
101,신경,3
102,얼음,4
103,주머니,1
104,스티로폼,12
105,내부,1
106,엉망,3
107,물이,2
108,르겠,1
109,청와대,13
110,만찬,16
111,얼마나,2
112,냉장고,16
113,행복,1
114,한번,27
115,계속,23
116,수가,5
117,매우,17
118,대비,5
119,의향,1
120,직접,1
121,양도,6
122,인정,2
123,천상,1
124,평생,1
125,네이버,2
126,고화질,1
127,제일,20
128,엊그제,1
129,훌쩍,1
130,파티,6
131,아버지,16
132,명절,15
133,드릴,4
134,예정,10
135,재품,1
136,감사,7
137,배달,4
138,리터,1
139,먼저,4
140,탄산음료,2
141,술술,8
142,오픈,13
143,유의,2
144,조심,8
145,밸런스,1
146,강추,16
147,어머니,6
148,사드,1
149,렷습,1
150,술집,6
151,인터넷,10
152,내일,4
153,집들이,10
154,주점,3
155,집안,2
156,행사,8
157,준비,6
158,청량감,21
159,특유,5
160,텁텁함,4
161,대량,1
162,바로,22
163,이상,6
164,인사,2
165,남녀,2
166,노소,2
167,누구,3
168,얼마,4
169,공식,6
170,건배,4
171,퀄리티,2
172,일차,1
173,살짝,12
174,숙성,4
175,가장,6
176,품격,1
177,추천,38
178,실망,4
179,달라,5
180,큰일,2
181,뒷맛,8
182,걸이,1
183,아빠,9
184,한잔,7
185,생각,48
186,박스,15
187,아이스,14
188,거의,2
189,종일,1
190,상태,17
191,다행,1
192,근래,1
193,바깥,1
194,날씨,4
195,냉동,1
196,수준,2
197,한지,2
198,뚜껑,21
199,하나,6
200,고민,7
201,재주,18
202,페인,10
203,오니,2
204,예전,19
205,시원,1
206,순삭,7
207,다시,6
208,어보,2
209,인생,15
210,용이,5
211,친척,3
212,대요,7
213,달리,3
214,상큼,6
215,샴페인,52
216,신맛,10
217,모임,14
218,쌀맛,2
219,모든,5
220,만족,21
221,부산,2
222,경기도,1
223,전통,3
224,주로,7
225,연휴,4
226,손상,2
227,어른,12
228,물건,4
229,따름,1
230,튜브,3
231,갑자기,2
232,호불호,5
233,오프라인,3
234,아이스박스,2
235,테이프,4
236,그냥,15
237,순도,43
238,산맥,2
239,남편,8
240,소리,1
241,조금,40
242,여자친구,1
243,가면,1
244,경주,2
245,입맛,20
246,대부분,2
247,음식,6
248,마트,7
249,팔지,1
250,일단,8
251,자동,1
252,필요,4
253,나머지,2
254,매번,8
255,외치,1
256,쵝오,1
257,후기,7
258,자마자,8
259,사고,4
260,가을,1
261,폐인,2
262,최강,1
263,내기,2
264,지난번,4
265,피드백,1
266,엄마,7
267,어제,2
268,이전,3
269,오늘,6
270,가끔,8
271,이화백,1
272,대게,1
273,가요,4
274,사용,3
275,추석,20
276,초장,1
277,궁합,3
278,여러,8
279,가지,5
280,드셧어,1
281,산뜻,1
282,유통기한,24
283,편이,7
284,먹기,16
285,파손,3
286,미가,1
287,초대,5
288,위해,6
289,자리,4
290,언제,2
