,word,count
0,탄산,179
1,평소,13
2,막걸리,412
3,별로,10
4,이건,16
5,선물,540
6,감칠맛,6
7,자꾸만,1
8,생각,32
9,복순도가,175
10,역시,62
11,분도,12
12,항상,76
13,상품,24
14,산미,14
15,유통,13
16,기한,13
17,다른,35
18,그것,1
19,장마철,1
20,포장,107
21,출고,2
22,상큼,25
23,일품,6
24,고급,20
25,세상,4
26,쿠폰,1
27,조금,21
28,주문,177
29,워낙,8
30,일본인,1
31,지인,50
32,주니,2
33,캠핑,6
34,가지,4
35,중순,1
36,식당,2
37,마로,1
38,구입,41
39,배송,246
40,다만,4
41,혹시,4
42,스티로폼,5
43,용기,2
44,세로,1
45,전혀,3
46,사이다,14
47,요구르트,8
48,뚜껑,13
49,고유,1
50,부모님,45
51,매우,19
52,의사,6
53,스파,18
54,와인,17
55,달이,4
56,오픈,11
57,숙성,10
58,송이,6
59,요담,1
60,다시,14
61,한번,29
62,고민,6
63,수고,1
64,칵테일,2
65,샴페인,39
66,느낌,27
67,알콜,6
68,수가,2
69,마시기,17
70,대신,6
71,서민,1
72,이기,1
73,구매,169
74,아이스,15
75,여러,9
76,박스,9
77,자주,54
78,자꾸,13
79,가끔,16
80,아빠,14
81,조화,1
82,장난,5
83,아주,54
84,타고,1
85,난리,7
86,그냥,12
87,음료수,5
88,대면,1
89,모금,4
90,최고,98
91,진짜,59
92,달콤,2
93,음식,12
94,어울림,2
95,음주,1
96,오늘,5
97,만큼,13
98,특색,1
99,특유,7
100,감사,11
101,톡톡,7
102,탁주,2
103,드라이,3
104,도전,1
105,무척,1
106,할인,8
107,기도,1
108,우리,5
109,냉장고,10
110,여름,2
111,매번,28
112,소문,9
113,기대,13
114,다음,35
115,햇습니,1
116,청량감,11
117,말씀,2
118,신분,1
119,정말,87
120,공감,1
121,회식,4
122,살짝,5
123,호불호,11
124,첨가,1
125,물이,3
126,속도,1
127,아버지,11
128,이용,15
129,제품,36
130,묶음,1
131,사진,13
132,대체,2
133,외국,2
134,손님,9
135,날씨,2
136,예상,1
137,가격,50
138,스타일,5
139,판매,1
140,달라,8
141,처음,42
142,조만간,5
143,명품,7
144,하나,15
145,기억,6
146,번창,14
147,벌써,12
148,버럈,1
149,음료,3
150,요거트,1
151,파손,1
152,번개,1
153,처럼,2
154,순간,3
155,찌릿,1
156,인생,14
157,완전,24
158,저번,3
159,재주,21
160,만조,1
161,계속,19
162,예정,11
163,등산,1
164,가면,2
165,천상,1
166,원래,17
167,애정,5
168,다운,1
169,가족,55
170,모임,25
171,주류,2
172,강추,6
173,신맛,12
174,과연,1
175,부산,4
176,여행,5
177,알림,1
178,소비,1
179,지금,2
180,가장,6
181,세용,1
182,퇴근,4
183,안주,2
184,행복,2
185,당일,27
186,메리트,1
187,구들,5
188,여기,6
189,이번,38
190,스승,1
191,드렷,4
192,만족,32
193,산이,1
194,정기,1
195,확인,1
196,여직원,1
197,대응,4
198,기분,24
199,기사,2
200,할머니,3
201,할아버지,5
202,시더,1
203,잘못,5
204,다공,1
205,서울역,1
206,매장,2
207,반했어,1
208,거리,2
209,성비,2
210,반도,1
211,미가,3
212,모든,6
213,만이,3
214,아버님,6
215,친구,50
216,고향,2
217,어버이날,1
218,송도,26
219,품질,3
220,최상,2
221,적극,3
222,추천,36
223,한참,2
224,완료,2
225,입맛,9
226,내재,1
227,애재,1
228,숙취,6
229,엄네용,1
230,매니아,3
231,성애자,1
232,중간,1
233,옛날,6
234,먼저,3
235,수도,4
236,세지,1
237,박자,1
238,전부,3
239,종종,13
240,신세계,5
241,덕분,9
242,프랑,1
243,대요,5
244,전주,2
245,식전,5
246,저녁,3
247,도착,16
248,흥건,1
249,냄새,2
250,이상,5
251,예전,17
252,대량,1
253,무작정,3
254,단맛,17
255,문의,4
256,자연,8
257,천연,4
258,텁텁,2
259,달달,32
260,시중,5
261,사람,38
262,집들이,10
263,드림,2
264,서로,2
265,바로,21
266,깜짝,2
267,첫날,1
268,이후,4
269,둘째,1
270,먹기,24
271,변질,1
272,주말,6
273,가가,5
274,부터,1
275,리조트,1
276,식사,5
277,하루,10
278,홀짝,5
279,홀린,1
280,듯이,2
281,칭찬,3
282,대접,2
283,목요일,2
284,불가,1
285,이제껏,2
286,갠찮,1
287,정도,11
288,지불,1
289,의문,1
290,장가,2
291,고기,2
292,홍어,4
293,취향,8
294,저격,3
295,매일,3
296,질리,2
297,유산균,3
298,약간,10
299,라서,3
300,굳이,1
301,지면,2
302,과음,2
303,기간,3
304,자알,2
305,보기,2
306,전이,3
307,근해,1
308,사용,7
