,word,count
0,여러가지,17
1,막걸리,635
2,호랑이,158
3,명성,2
4,처음,39
5,부모님,23
6,자주,41
7,잘먹엇어,1
8,재주,6
9,친구,23
10,퍄티,1
11,온라인,13
12,구매,164
13,아이스박스,9
14,포장,183
15,뒤끝,7
16,달달,124
17,아주,73
18,주문,233
19,가격,29
20,대비,6
21,전체,3
22,비율,1
23,목넘김,76
24,배송,269
25,상태,18
26,탄산,115
27,화성,2
28,남편,14
29,영향,1
30,지금,3
31,종류,27
32,드뎌,1
33,입맛,23
34,발견,1
35,제일,31
36,마을,23
37,가을,1
38,느낌,35
39,만큼,5
40,이름,3
41,지역,8
42,사서,11
43,최고,51
44,지인,36
45,문해,1
46,유통기한,47
47,제품,34
48,개봉,1
49,개인,5
50,별로,25
51,마켓,12
52,다른,27
53,살때,1
54,사이다,9
55,정말,67
56,매번,12
57,가성,9
58,감동,4
59,합닏,1
60,조금,33
61,역시,33
62,짱짱맨,1
63,가게,12
64,재고,1
65,자리,1
66,검색,3
67,바로,18
68,트름,2
69,무엇,3
70,다음,50
71,머리,10
72,합성,2
73,감미료,10
74,아스파탐,15
75,약간,21
76,단맛,55
77,최애,25
78,모임,4
79,사진,8
80,진짜,41
81,극찬,1
82,여기,17
83,가끔,8
84,벌컥,3
85,첨가,5
86,물질,1
87,중간,5
88,게쿄어,1
89,보지,14
90,뿌리,1
91,국순당,2
92,차이,7
93,긍금하,1
94,우국생,1
95,실망,3
96,선물,77
97,추천,49
98,내일,3
99,캠핑,6
100,술술,14
101,전통주,7
102,장수,5
103,기전,1
104,장인어른,2
105,파손,8
106,도착,18
107,어어,2
108,나나,1
109,여러,6
110,이번,16
111,성공,1
112,단골,2
113,컬리,1
114,마시기,47
115,부담,15
116,모든,5
117,부문,1
118,만족,8
119,꿀떡,2
120,존맛,6
121,그냥,16
122,사람,22
123,무난,19
124,방금,1
125,정시,1
126,금요일,2
127,냉장고,5
128,라벨,5
129,귀염,1
130,뽀짝,1
131,의향,2
132,프로,1
133,미당,1
134,상품,33
135,배혜정,14
136,식당,12
137,이제,7
138,적응,1
139,런가,3
140,콤달콤,2
141,요구르트,3
142,디저트,2
143,고해,8
144,다음주,1
145,예정,14
146,의사,25
147,소문,4
148,중요,1
149,요즘,13
150,드라마,1
151,가평,1
152,평가,1
153,무조,1
154,가장,19
155,이특,1
156,하이,2
157,상큼,17
158,두통,1
159,매장,1
160,해하,1
161,지도,2
162,비교,8
163,편이,4
164,크게,2
165,거부,3
166,안주,14
167,생각,34
168,때문,5
169,삿는데,1
170,아버님,4
171,드셧,1
172,하나,20
173,반응,1
174,매실,1
175,원주,1
176,복분자주,1
177,니아,1
178,꼼똠,1
179,술잔,1
180,오구,1
181,시간,7
182,수령,2
183,주일,2
184,첫날,2
185,더욱,3
186,우리,11
187,다만,5
188,아이스팩,18
189,직지,1
190,근해,1
191,어버이날,1
192,후기,10
193,기대,30
194,호랭이,9
195,여성,4
196,아내,3
197,산미,4
198,끝맛,2
199,매각,6
200,요규르트,1
201,해주시,2
202,뒷맛,4
203,과도,1
204,시중,16
205,리뷰,12
206,주변,7
207,화장실,5
208,폭풍,5
209,설사,8
210,발생,1
211,산도,1
212,좀더,5
213,당시,1
214,변비,2
215,새벽,1
216,어번,1
217,청소,1
218,도움,1
219,평일,1
220,인지,1
221,나름,3
222,한번,23
223,대량,1
224,맛을거갘,1
225,잡맛,1
226,안나,8
227,뭔가,6
228,일반,7
229,마개,2
230,플라스틱,2
231,대신,3
232,여의도,1
233,배달,8
234,구입,16
235,배상면,1
236,주가,4
237,자회사,1
238,라이트,2
239,걱정,7
240,소주,7
241,음식점,6
242,만해,5
243,그때,2
244,음료,3
245,애용,4
246,모로,2
247,완전,22
248,조만간,3
249,와이프,3
250,효능,1
251,생선,1
252,어제,2
253,깜놀,1
254,전이,9
255,요요,1
256,성분,3
257,다해,2
258,맑은,4
259,부분,7
260,일지,1
261,일단,7
262,곡생주,6
263,호불호,9
264,아부지,4
265,생일,2
266,취향,10
267,미나,1
268,리전,1
269,손상,1
270,보냉,2
271,완충제,1
272,테이,1
273,스팅,1
274,주말,6
275,느므맛,1
276,보답,1
277,가미,1
278,대중,7
279,성향,1
280,밍밍,4
281,밸런스,6
282,아빠,10
283,인위,5
284,그대로,4
285,마트,19
286,초반,1
287,판매,14
288,선택,2
289,근처,1
290,경쟁,1
291,술집,14
292,은박,1
293,항상,27
294,퀄리티,2
295,칭찬,3
296,문갑,2
297,대충,1
298,가지,6
299,최고봉,1
300,라면,1
301,하루,9
302,기적,1
303,티어,1
304,쟁여둬,1
305,대요,4
306,필여햐,1
307,여자,2
308,타입,1
309,오픈,1
310,젊은이,1
311,다시,16
312,시작,4
313,살짝,23
314,누구,6
315,퇴근,1
316,벨런스,2
317,오래오래,1
318,톡톡,1
319,예전,7
320,경주,2
321,보룸,1
322,이상,9
323,생기,1
324,땅콩,3
325,일부러,2
326,아스타,6
327,배스,1
328,맛남,3
329,텁텁함,7
330,추가,7
331,주점,2
332,걸죽,3
333,이건,15
334,맜있어,1
335,구신,1
336,진심,1
337,바나나,3
338,바디,2
339,기분,11
340,얼음,3
341,보온,1
342,오징어,1
343,볶음,2
344,환상,1
345,궁합,5
346,잘마셧습,2
347,오프라인,5
348,매우,10
349,거의,6
350,두번째,17
351,친정엄마,1
352,묵힌거,1
353,달라,2
354,보름,2
355,방법,2
356,연구,2
357,요청,1
358,기도,3
359,시킴,1
360,덩어리,1
361,전반,1
362,양조,1
363,병입후,1
364,취하,3
365,가의,2
366,수준,1
367,대가,2
368,어르신,2
369,된거,4
370,적당,3
371,히달고,2
372,살수,3
373,햇구,1
374,평이,7
375,며칠,3
376,숙성,5
377,막믈리,1
378,파티,2
379,나머지,2
380,인공,6
381,에리,4
382,스리,4
383,보관,8
384,냉장,2
385,기준,2
386,쓴맛,3
387,가족,16
388,멕기,1
389,쓰기,2
390,사과,9
391,이나,1
392,모두,10
393,엄마,10
394,신랑,8
395,강력,1
396,해도,1
397,여름,5
398,한잔,5
399,반주,9
400,전혀,1
401,몇개,2
402,월동,1
403,보이,1
404,인터넷,17
405,이유,5
406,부드러움,5
407,요건,1
408,저렴,1
409,소개,4
410,인생,7
411,수고,6
412,호랑,4
413,사도,1
414,있으몀,1
415,세상,2
416,혼자,2
417,평소,5
418,피크닉,3
419,사과쥬스,1
420,킬러,1
421,섴은맛,1
422,박스,8
423,신분,1
424,심정,1
425,이해,3
426,가요,1
427,쇼핑,1
428,해창,4
429,단술,1
430,쥬스,2
431,외관,1
432,가타,1
433,덕분,7
434,데이,1
435,삼겹살,1
436,기네,1
437,막사,3
438,자체,3
439,신경,6
440,종루,1
441,주위,3
442,필요,2
443,여행가,2
444,해결,1
445,박사,1
446,최고다,1
447,택배,6
448,일인,1
449,걸쭉,1
450,드라이,2
451,스타일,7
452,선호,7
453,특유,7
454,눈내,1
455,입국,1
456,누룩,2
457,등등,2
458,결론,1
459,입문,3
460,강추,9
461,옥수수,1
462,강냉이,1
463,담으루,1
464,청량감,8
465,튀김,1
466,음식,8
467,해산물,2
468,금방,2
469,해정,1
470,파전,2
471,순위,3
472,농도,1
473,달작,1
474,지근,2
475,무조건,4
476,먹어봣으,1
477,어욤,1
478,마감,1
479,처리,1
480,광장시장,2
481,빈대떡,1
482,그림,2
483,트림,3
484,종종,8
485,말씀,1
486,인증샷,1
487,원래,5
488,신맛,2
489,보가,1
490,저희,4
491,젛아욯,1
492,설명,3
493,대한,2
494,질문,1
495,게시판,1
496,파악,1
497,이왕이면,2
498,상세,1
499,페이지,1
500,남아,1
501,묶음,1
502,바램,1
503,임팩트,1
504,국내,2
505,지유,1
506,감샇,1
507,생신,2
508,팔고,1
509,연락,2
510,신뢰,1
511,위주,1
512,재미,2
513,왓어,1
514,극락,1
515,하서,1
516,술맛,3
517,번창,8
518,좋아욤,1
519,주스,1
520,신세계,3
521,명절,10
522,직접,2
523,재구먀,1
524,위향,1
525,뒷날,1
526,곡주,1
527,옛날,5
528,프리미엄,7
529,곡생,2
530,기운,4
531,회랑,1
532,식전주,1
533,이용,4
534,문하,1
535,계속,11
536,여행,2
537,서울,1
538,지평막걸리,2
539,도도,1
540,질리,2
541,이전,1
542,기억,8
543,네이버,1
544,평범,1
545,경험,4
546,축하,1
547,쟁여놓,2
548,음미,1
549,품질,2
550,근래,1
551,여기저기,1
552,뺘른,1
553,배맛,1
554,지속,1
555,순식간,2
556,입장,1
557,밋있어,2
558,연말,6
559,운송,1
560,과정,1
561,냄새,5
562,전문점,2
563,음해,2
564,알루미늄,1
565,삼촌,1
566,보기,4
567,전입,2
568,메뉴판,1
569,본적,1
570,일본,1
571,수육,4
572,좋슴다,1
573,멸치,1
574,물어,1
575,가도,1
576,왓습,1
577,제격,1
578,안성,1
579,맞춤,1
580,화면,1
581,파뤼용,1
582,회사,1
583,사용,2
584,기간,4
585,변화,1
586,선도,1
587,최상,1
588,최반,1
589,인간,1
590,밀키스,1
591,감사,7
592,반했어,2
593,맛보기,2
594,노무,1
595,오늘,3
596,무아,1
597,숙취,8
598,사두,1
599,이빨,1
600,갈리,2
601,김장,5
602,엇어,2
603,안달,3
604,이강하,1
605,미상,1
606,먹음,1
607,냉동고,1
608,황태,1
609,모금,2
610,전형,2
611,김치,2
612,조합,1
613,식구,3
614,토욜날,1
615,일부,1
616,상한,1
617,개선,1
618,시지,1
619,어무,2
620,산쌀,1
621,함유,2
622,월드컵,1
623,두번쨰,1
624,맥주,5
625,캠핑장,1
626,나용,1
627,특산,2
628,이건모,1
629,말모,2
630,대부분,1
631,인증,1
632,해유,1
633,맛있슴,1
634,대로,1
