,word,count
0,하나,33
1,스트레이트,1
2,얼음,29
3,송도,17
4,포장,154
5,부분,8
6,파손,2
7,정말,60
8,배송,136
9,물건,4
10,매번,8
11,주문,112
12,도수,75
13,주의,4
14,냉매,1
15,약간,29
16,크림,6
17,가요,10
18,감미료,10
19,아빠,9
20,예정,9
21,생각,60
22,조금,52
23,지면,1
24,아주,74
25,걸죽,90
26,인공,4
27,숙취,6
28,거의,11
29,다만,7
30,알콜,13
31,금방,5
32,취하,7
33,보관,6
34,기간,3
35,막걸리,520
36,먼저,3
37,사람,18
38,개인,22
39,농도,20
40,디저트,3
41,만큼,10
42,달달,75
43,하루,6
44,한잔,8
45,전주,3
46,반주,2
47,식후,1
48,주로,3
49,아버지,12
50,바로,16
51,부침개,1
52,추천,45
53,상품,16
54,고급,21
55,탄산,44
56,목넘김,91
57,수가,12
58,기분,20
59,단맛,64
60,지기,1
61,시간,7
62,곡생,3
63,최고,43
64,수도,6
65,유랑,1
66,우유,9
67,칵테일,4
68,다른,39
69,스파,9
70,마을,14
71,가격,29
72,대비,8
73,기대,39
74,생주,48
75,여러분,2
76,가끔,2
77,선택,4
78,예전,4
79,시골,2
80,사이다,14
81,제발,3
82,우선,4
83,하니,12
84,찾기,2
85,냉장,3
86,술맛,10
87,마시기,12
88,연속,3
89,유통기한,43
90,이번,15
91,연한,1
92,처음,46
93,필요,4
94,슈퍼,3
95,항상,25
96,곡물,6
97,전체,5
98,바나나,7
99,산미,10
100,계피,1
101,도의,2
102,질감,13
103,균형,1
104,신맛,10
105,일반,33
106,방법,1
107,나머지,4
108,더욱,3
109,완벽,1
110,완전,33
111,스타일,20
112,요거트,36
113,역시,31
114,느낌,96
115,선물,107
116,그냥,16
117,쭉쭉,3
118,크리,26
119,그대로,7
120,유지,4
121,인상,4
122,안주,34
123,과일,6
124,샐러드,1
125,페어,1
126,취향,31
127,최애,1
128,신랑,8
129,가장,12
130,농협,1
131,평가,1
132,나중,7
133,살짝,18
134,탁주,17
135,미하,4
136,성비,11
137,프리미엄,29
138,입맛,22
139,숙성,9
140,바디감,21
141,밸런스,4
142,오픈,3
143,경과,1
144,수록,1
145,경향,1
146,호불호,20
147,해창,21
148,대용,1
149,은근,2
150,무슨,3
151,재고,1
152,처리,4
153,매일,1
154,비교,11
155,정착,1
156,차이,6
157,실만,1
158,권한,1
159,제일,20
160,사랑,1
161,한번,26
162,거도,1
163,마이,1
164,제품,22
165,병정,1
166,반했어,1
167,기사,3
168,다음,32
169,이용,7
170,슐랭,1
171,무엇,3
172,하리,1
173,재주,10
174,패키지,6
175,종일,1
176,걱정,6
177,도리,1
178,드라이,3
179,전통주,7
180,친구,15
181,특급,2
182,일품,7
183,만족,7
184,걸죽함,4
185,단내,1
186,비릿,1
187,누룩,3
188,참외,6
189,따라서,1
190,머금,1
191,깜짝,1
192,자체,6
193,가득,4
194,입안,3
195,마음,8
196,드네,4
197,이상은,1
198,여서,3
199,부담,6
200,주말,3
201,오전,1
202,오후,1
203,평소,14
204,도착,22
205,가지,9
206,준비,2
207,옥상,1
208,다섯,3
209,순간,3
210,모든,1
211,비어,1
212,끝맛,9
213,자주,24
214,이로,2
215,차별,1
216,굿잡,1
217,감탄,1
218,수을,1
219,판매,6
220,지평,1
221,서울,1
222,밍숭맹,1
223,물맛,1
224,순수,2
225,맜있어,1
226,텍스,3
