,word,count
0,유통,24
1,기한,24
2,정도,14
3,이건,10
4,한번,27
5,주문,212
6,가격,39
7,성비,6
8,시간,12
9,신맛,71
10,아주,71
11,걸죽,39
12,계속,29
13,가끔,19
14,금정산성,149
15,막걸리,857
16,차케됙니,1
17,마켓,8
18,배송,207
19,항상,67
20,평소,10
21,그냥,8
22,달달,25
23,호불호,26
24,현대,1
25,백화점,4
26,판매,10
27,금정산,21
28,이름,3
29,출시,2
30,다시,22
31,지인,35
32,번창,22
33,선물,65
34,도수,20
35,만원,3
36,천원,1
37,명인,9
38,명품,5
39,이면,1
40,충분,1
41,처음,43
42,추천,36
43,고니,1
44,특성,1
45,조금,33
46,개인,19
47,다음,26
48,제품,51
49,구매,136
50,다른,67
51,코리아,3
52,넘버원,3
53,일반,21
54,파전,4
55,도착,15
56,기대,36
57,기억,13
58,역시,57
59,산정,1
60,마시기,7
61,가성,3
62,가장,14
63,애정,1
64,부산,53
65,직접,6
66,가지,16
67,언제,5
68,명성,6
69,그대로,13
70,정말,52
71,최고,91
72,압니,2
73,미가,11
74,균형,2
75,주어,1
76,단맛,57
77,술술,2
78,반제품,1
79,고급,6
80,특징,5
81,자꾸,6
82,단점,3
83,합성,2
84,감미료,5
85,청량감,4
86,만족,11
87,포함,1
88,매력,17
89,지존,5
90,무난,2
91,로만,1
92,택배,20
93,목넘김,44
94,유산균,8
95,느낌,47
96,포장,99
97,하나,29
98,아이스,31
99,물이,8
100,흥건,2
101,자주,35
102,아빠,19
103,꿀쩍,1
104,워낙,6
105,전통주,13
106,대중,1
107,부모님,29
108,옛날,70
109,도로,2
110,마트,16
111,구입,24
112,이번,46
113,파티,2
114,마무리,2
115,서울,12
116,설명,5
117,종류,15
118,별로,35
119,우리나라,6
120,입맛,39
121,주위,4
122,사람,25
123,보라,1
124,권유,1
125,감사,8
126,시도,1
127,시중,18
128,차이,8
129,요새,1
130,냉용,1
131,금방,10
132,독보,3
133,말로,2
134,매우,21
135,적응,3
136,수도,9
137,여러,23
138,뒷킅,1
139,약간,33
140,플릭스,2
141,더욱,4
142,아버지,26
143,달리,3
144,친구,11
145,슴니,1
146,어뇨,1
147,탁주,6
148,과일,4
149,탄산,51
150,텁텁,5
151,질감,3
152,산미,61
153,마지막,3
154,스파,7
155,첨가,3
156,거의,11
157,예전,30
158,반면,1
159,특유,24
160,바디,10
161,골뱅이,1
162,두부,2
163,사랑,3
164,고향,9
165,살짝,27
166,안구,1
167,쌔영,1
168,파손,3
169,습니,1
170,끝맛,9
171,의향,2
172,변치,2
173,걸죽함,4
174,평이,1
175,예정,10
176,원래,11
177,감천,1
178,불랙,1
179,라이트,2
180,시진,1
181,지역,8
