review_stars,reveiw_buy_site,review_name,review_date,review_title,review_text
평점5,술마켓,yong****,23.06.11.,맛이 담백하니 좋아요. 유통기한도 약 15~20일 정도라 만족합니다,맛이 담백하니 좋아요. 유통기한도 약 15~20일 정도라 만족합니다
평점4,금정산성막걸리,nine****,23.06.11.,잘받았습니다~~~ㆍ,잘받았습니다~~~ㆍ
평점5,술마켓,bitb****,23.06.10.,배송 삐르고이건 한번 먹으면또 주문하죠,"배송 삐르고
이건 한번 먹으면
또 주문하죠"
평점5,술마켓,hakb****,23.06.10.,배송 빠르고 가격도 만족스럽습니다.,배송 빠르고 가격도 만족스럽습니다.
평점5,술마켓,rosa****,23.06.10.,좋습니다 가성비있네요,좋습니다 가성비있네요
평점5,금정산성막걸리,scho****,23.06.09.,시간이 지나면서 신맛이 나는데 아주 맛나요^^,시간이 지나면서 신맛이 나는데 아주 맛나요^^
평점4,술마켓,kjh3****,23.06.09.,"말만 듣다가 먹어봤는데,걸죽하고 시큼한게 이상했는데 계속 당기는 맛이네요.","말만 듣다가 먹어봤는데,걸죽하고 시큼한게 이상했는데 계속 당기는 맛이네요."
평점5,술마켓,jkyu****,23.06.09.,가끔 사먹는데 너무 맛있어요~,가끔 사먹는데 너무 맛있어요~
평점5,금정산성막걸리,nanu****,23.06.09.,산성막걸리 또 차케됙니다 잘 머겠습니다,산성막걸리 또 차케됙니다 잘 머겠습니다
평점5,술마켓,crit****,23.06.08.,아주 맛있어요. 좋아하는 막걸리입니다.,아주 맛있어요. 좋아하는 막걸리입니다.
평점5,술마켓,ssib****,23.06.08.,너무 맛있습니다?????,너무 맛있습니다?????
평점5,술마켓,newl****,23.06.06.,술마켓은 언제나 좋네요 배송도 잘왔고 항상 잘먹습니다,술마켓은 언제나 좋네요 배송도 잘왔고 항상 잘먹습니다
평점5,술마켓,csro****,23.06.06.,맛도 향도 가격도 좋은 막걸리,맛도 향도 가격도 좋은 막걸리
평점3,술픽,amid****,23.06.06.,평소먹던막걸하구는맛이다르네요맛있는거하구그냥그냥평소먹던 달달막걸리가아니라서호불호가있네요,"평소먹던막걸하구는
맛이다르네요
맛있는거하구그냥그냥
평소먹던 달달막걸리가아니라서
호불호가있네요"
평점4,금정산성막걸리,hims****,23.06.04.,현대백화점 등에서 판매를 했는데 엉뚱한 맛없는 금정산이란 이름을 단 막걸리가 들어와 있는데... 이런것들 쫌 퇴출시키고 다시 들어오면 좋겠어요,현대백화점 등에서 판매를 했는데 엉뚱한 맛없는 금정산이란 이름을 단 막걸리가 들어와 있는데... 이런것들 쫌 퇴출시키고 다시 들어오면 좋겠어요
평점5,금정산성막걸리,beau****,23.06.04.,지인분께 보내드렸는데 좋아하시네요. 번창하세요^^,지인분께 보내드렸는데 좋아하시네요. 번창하세요^^
평점5,술마켓,amsa****,23.06.04.,선물받은분이 좋다고 하네요,선물받은분이 좋다고 하네요
평점5,금정산성막걸리,lope****,23.06.04.,아주 맛있어요배송도 빠르고,"아주 맛있어요
배송도 빠르고"
평점5,금정산성막걸리,tkda****,23.06.03.,"진하고 부드럽네요알콜 도수 적당하고 목 넘긴 아주 좋습니다요 비슷한 맛의 막걸리 있던데 한병 값이 만원하고도 몇천원명인,명품 막걸리는 이 가격이면 충분 합니다~","진하고 부드럽네요
알콜 도수 적당하고 목 넘긴 아주 좋습니다
요 비슷한 맛의 막걸리 있던데 한병 값이 만원하고도 몇천원
명인,명품 막걸리는 이 가격이면 충분 합니다~"
평점5,술마켓,hips****,23.06.03.,처음 먹어봤는데 깔끔하니 좋네요 추천합니다,처음 먹어봤는데 깔끔하니 좋네요 추천합니다
평점5,금정산성막걸리,kyc5****,23.06.03.,언제나 최고니다. 감사합니다. ㅎ,언제나 최고니다. 감사합니다. ㅎ
평점4,술마켓,skyi****,23.06.02.,맛은 좋은데 막걸리 특성상 유통기한이 다가오니 신맛이 높아져서 조금 그랬습니다 개인적으로 신맛을 싫어해서요. 다음부터는 유통기한이 긴 제품으로 보내주시면 좋겠네요.,맛은 좋은데 막걸리 특성상 유통기한이 다가오니 신맛이 높아져서 조금 그랬습니다 개인적으로 신맛을 싫어해서요. 다음부터는 유통기한이 긴 제품으로 보내주시면 좋겠네요.
평점5,금정산성막걸리,gs34****,23.06.02.,맛있다고해서 주문해봤어요,맛있다고해서 주문해봤어요
평점5,금정산성막걸리,baek****,23.06.02.,몇 번째 재구매인지~다른 막걸리는 싱거워 못먹어요!진하고 맛있는 막걸리~,"몇 번째 재구매인지~
다른 막걸리는 싱거워 못먹어요!
진하고 맛있는 막걸리~"
평점5,금정산성막걸리,jooy****,23.06.01.,코리아 넘버원 보고 구매했어요일반 막걸리보다 덜단데 맛있어요!파전이랑 너무 잘어울리네요 !!,"코리아 넘버원 보고 구매했어요
일반 막걸리보다 덜단데 맛있어요!
파전이랑 너무 잘어울리네요 !!"
평점5,술마켓,wihy****,23.06.01.,잘 도착했습니다 기대됩니다,잘 도착했습니다 기대됩니다
평점5,술마켓,jaki****,23.05.31.,만족합니다. 감사해요^^,만족합니다. 감사해요^^
평점4,술마켓,miry****,23.05.30.,전에 마셨던 기억으로 주문했는데맛있네요ㅎ 제 입에는 맞아요ㅎ,"전에 마셨던 기억으로 주문했는데
맛있네요ㅎ 제 입에는 맞아요ㅎ"
평점5,금정산성막걸리,rebz****,23.05.30.,역시말걸리는 금정산정 막걸리죠,역시말걸리는 금정산정 막걸리죠
평점4,술마켓,v45j****,23.05.30.,가볍지도 무겁지도 않아요 마시기에 좋아요~~~,"가볍지도 무겁지도 않아요
마시기에 좋아요~~~"
