review_stars,reveiw_buy_site,review_name,review_date,review_title,review_text
평점5,술마켓,love****,23.06.11.,동네에서 살 수 없는 여러가지 막걸리를 맛볼수 있어 좋아요~,동네에서 살 수 없는 여러가지 막걸리를 맛볼수 있어 좋아요~
평점5,술마켓,kore****,23.06.11.,먹던건데 다 맛있어요,먹던건데 다 맛있어요
평점5,술마켓,gaaa****,23.06.10.,호랑이 명성만 듣고 처음 먹어봤는데 너무 맛있어요~!,호랑이 명성만 듣고 처음 먹어봤는데 너무 맛있어요~!
평점5,배혜정도가,wnal****,23.06.10.,부모님이 좋아하셔서 자주 보내드리네요~,"부모님이 좋아하셔서
자주 보내드리네요~"
평점5,배혜정도가,un05****,23.06.10.,잘먹엇어요 재주문하께여,잘먹엇어요 재주문하께여
평점5,술마켓,cres****,23.06.10.,친구들과 막걸리 퍄티,친구들과 막걸리 퍄티
평점5,배혜정도가,iamw****,23.06.09.,맛이 잠 좋아요.온라인구매 저렴하니 참 좋네요.아이스박스에 포장도 꼼꼼했어요.,"맛이 잠 좋아요.
온라인구매 저렴하니 참 좋네요.
아이스박스에 포장도 꼼꼼했어요."
평점5,배혜정도가,sooo****,23.06.09.,뒤끝이 달달하고 맛있어서 꾸준히 구매중~,뒤끝이 달달하고 맛있어서 꾸준히 구매중~
평점5,배혜정도가,leey****,23.06.09.,아주 맛이 좋네요.. 재주문 할것 같아요,아주 맛이 좋네요.. 재주문 할것 같아요
평점4,배혜정도가,hain****,23.06.09.,가격 대비 맛납니다.,가격 대비 맛납니다.
평점5,술마켓,dmsg****,23.06.08.,전체적인 비율이 참 좋은 막걸리였어요 목넘김도 좋구요 굿입니다,전체적인 비율이 참 좋은 막걸리였어요 목넘김도 좋구요 굿입니다
평점5,술마켓,crit****,23.06.08.,아주 맛있어요. 좋아하는 막걸리입니다.,아주 맛있어요. 좋아하는 막걸리입니다.
평점5,술마켓,ssos****,23.06.08.,전에 맛있게 먹었어요배송상태도 좋습니다,"전에 맛있게 먹었어요
배송상태도 좋습니다"
평점5,술마켓,arip****,23.06.07.,부드럽게 넘어가고 탄산감이 있습니다 화성 생막걸리랑 비슷한 느낌이네요,부드럽게 넘어가고 탄산감이 있습니다 화성 생막걸리랑 비슷한 느낌이네요
평점5,배혜정도가,audr****,23.06.07.,막걸리 좋아하는 남편의 영향으로 지금까지 여러종류의 막걸리를 옆에서 찔끔찔끔 마셔봤는데 드뎌 제 입맛에도 맞는 막걸리를 발견했어요 깔끔하고 맛있어요,막걸리 좋아하는 남편의 영향으로 지금까지 여러종류의 막걸리를 옆에서 찔끔찔끔 마셔봤는데 드뎌 제 입맛에도 맞는 막걸리를 발견했어요 깔끔하고 맛있어요
평점5,배혜정도가,wnal****,23.06.06.,부모님이 이 막걸리가 제일 맛있다고 하셔서 또 주문넣었네요~,부모님이 이 막걸리가 제일 맛있다고 하셔서 또 주문넣었네요~
평점5,술마켓,null****,23.06.05.,단 맛이 있고 걸ㅊ툭합니다. 느린마을 막걸리 가을 느낌,단 맛이 있고 걸ㅊ툭합니다. 느린마을 막걸리 가을 느낌
