review_stars,reveiw_buy_site,review_name,review_date,review_title,review_text
평점5,우리술상회,ds11****,23.06.11.,맛있게 먹을께요 배송잘왔네여,맛있게 먹을께요 배송잘왔네여
평점5,술담화 전통주 쇼핑몰,chun****,23.06.11.,맛있어요 또 구매할꺼에요,맛있어요 또 구매할꺼에요
평점5,술팜 전통주 쇼핑몰,youm****,23.06.09.,배송 빠르게 잘 받았습니다 맛있어요,배송 빠르게 잘 받았습니다 맛있어요
평점5,DOSU,allu****,23.06.08.,달달하니 막걸리 첨 먹는 사람이 넘 맛있다고 하네요^^,달달하니 막걸리 첨 먹는 사람이 넘 맛있다고 하네요^^
평점5,우리술상회,sms9****,23.06.08.,술 향이 너무 좋아요,술 향이 너무 좋아요
평점5,DOSU,free****,23.06.08.,전통주가 맛있네요.,전통주가 맛있네요.
평점4,DOSU,redp****,23.06.07.,너무 맛있어서 계속 재구매할 예정입니다,너무 맛있어서 계속 재구매할 예정입니다
평점5,술픽,goin****,23.06.06.,막걸리원탑 주변에 다 추천하고 다녀요,막걸리원탑 주변에 다 추천하고 다녀요
평점5,술픽,ryuj****,23.06.06.,너무 맛있어요 또 주문할거예요 ㅎㅎ,너무 맛있어요 또 주문할거예요 ㅎㅎ
평점5,DOSU,nong****,23.06.06.,깔끔하고 술술 잘 넘어가요,깔끔하고 술술 잘 넘어가요
평점5,DOSU,come****,23.06.05.,배송도 빠르고덕분에 주말에 맛나게 먹었어요.종류별 막걸리를 맛볼 수 있어서 정말 좋네요.앞으로 단골 되겠네요.당연히 맛도 굿입니다~,"배송도 빠르고
덕분에 주말에 맛나게 먹었어요.
종류별 막걸리를 맛볼 수 있어서 정말 좋네요.
앞으로 단골 되겠네요.
당연히 맛도 굿입니다~"
평점5,DOSU,yeoy****,23.06.05.,재구매 여러번 했는데 맛있어요 :),재구매 여러번 했는데 맛있어요 :)
평점5,DOSU,neoj****,23.06.05.,꾸덕한게 색다르고 좋아요,꾸덕한게 색다르고 좋아요
평점5,DOSU,boss****,23.06.05.,지안들이 진짜 맛있다고 난리였습니다.잘 먹었습니다. 사업 번창하세요.감사합니다,"지안들이 진짜 맛있다고 난리였습니다.
잘 먹었습니다. 사업 번창하세요.감사합니다"
평점5,DOSU,park****,23.06.04.,대대포 막걸리 좋습니다,대대포 막걸리 좋습니다
평점5,술픽,ohmy****,23.06.03.,저번주 첨 주문해봤었는데 갠적으로 숙성후 먹으니 더더 맛잇네요 가성비 짱입니다,저번주 첨 주문해봤었는데 갠적으로 숙성후 먹으니 더더 맛잇네요 가성비 짱입니다
평점4,우리술상회,ilov****,23.06.03.,쓴맛이 일도 없는 너무 달지않으면서 은은한 맛이 있는 맛걸리. 부담없이 먹긴 딱좋은 술이네요.,쓴맛이 일도 없는 너무 달지않으면서 은은한 맛이 있는 맛걸리. 부담없이 먹긴 딱좋은 술이네요.
평점4,술픽,656t****,23.06.03.,저렴하고 깔끔한맛이네요,저렴하고 깔끔한맛이네요
평점4,술픽,fjqm****,23.06.02.,배송도 빠르고 다양하게 주문해서 먹을수있어서 좋아요 포장도 잘되어왔어요,배송도 빠르고 다양하게 주문해서 먹을수있어서 좋아요 포장도 잘되어왔어요
평점5,술담화 전통주 쇼핑몰,plut****,23.06.02.,누가 마셔도 맛있는 꿀맛,누가 마셔도 맛있는 꿀맛
평점5,DOSU,dmse****,23.06.02.,배송 빠르게 왔구요 맛이 궁금하네요 아직 먹기전인데 맛있길 ㅠㅠ,배송 빠르게 왔구요 맛이 궁금하네요 아직 먹기전인데 맛있길 ㅠㅠ
평점5,DOSU,zepi****,23.06.01.,달달하고 부드러운 맛이 좋네요. 탄산감은 세지않지만 청량한 느낌이 납니다. 편하게 먹기좋은 막걸리네요,달달하고 부드러운 맛이 좋네요. 탄산감은 세지않지만 청량한 느낌이 납니다. 편하게 먹기좋은 막걸리네요
평점5,DOSU,yeoy****,23.06.01.,맛있어서 계속 재구매하고있어요 :),맛있어서 계속 재구매하고있어요 :)
평점5,DOSU,minj****,23.06.01.,오프라인에사 먹어보고 너므 구하기 힘들어 인터넷 검색하다 구매! 좋네요ㅎㅎㅎ 부드럽고 맛있어요ㅎㅎ,오프라인에사 먹어보고 너므 구하기 힘들어 인터넷 검색하다 구매! 좋네요ㅎㅎㅎ 부드럽고 맛있어요ㅎㅎ
평점5,DOSU,ilsa****,23.06.01.,너무좋아요좋아요좋아요,너무좋아요좋아요좋아요
평점5,술픽,dudd****,23.05.30.,맛있게 마셨습니다.,맛있게 마셨습니다.
평점5,DOSU,pani****,23.05.29.,좋아요 싸고좋아요 재구매할게요 감사합니다,좋아요 싸고좋아요 재구매할게요 감사합니다
평점5,술픽,heca****,23.05.28.,달지 않고 맛있었던거 같아요,달지 않고 맛있었던거 같아요
평점5,술팜 전통주 쇼핑몰,gocm****,23.05.27.,항상 전통주는 술팜에서 구매해요. 여행땜에 도착 하루뒤에 수령했는데도 포장이 꼼꼼해서 그런지 시원했어요,항상 전통주는 술팜에서 구매해요. 여행땜에 도착 하루뒤에 수령했는데도 포장이 꼼꼼해서 그런지 시원했어요
평점5,우리술상회,olds****,23.05.26.,이번에도 역시나 포장을 끝내주게 해서 보내주셨군요. 입에 맞는 술 찾기위해 이것저것 주문해봤습니다.,이번에도 역시나 포장을 끝내주게 해서 보내주셨군요. 입에 맞는 술 찾기위해 이것저것 주문해봤습니다.
평점5,술픽,ohmy****,23.05.26.,이건 다른막걸리에비해 용량이좀 적네요 그만큼 맛나길 기대하며,이건 다른막걸리에비해 용량이좀 적네요 그만큼 맛나길 기대하며
평점4,DOSU,wxyz****,23.05.26.,사진 못 찍어 아쉽네요. 배송도 빠르고 달달해요~,사진 못 찍어 아쉽네요. 배송도 빠르고 달달해요~
평점4,DOSU,suna****,23.05.26.,부드럽고 달콤해서 잘먹고있어요좋아요,"부드럽고 달콤해서 잘먹고있어요
좋아요"
평점5,술팜 전통주 쇼핑몰,wntj****,23.05.26.,달달구리한 막걸리 중에 최고입니다.,달달구리한 막걸리 중에 최고입니다.
평점5,술픽,johk****,23.05.26.,굳굳 달달하니 맛있어요,굳굳 달달하니 맛있어요
평점5,DOSU,yoya****,23.05.24.,너무좋아요 꾸준하게 주문해서 마시고있습니다!,너무좋아요 꾸준하게 주문해서 마시고있습니다!
평점5,술팜 전통주 쇼핑몰,sang****,23.05.24.,빠르고 편하게 이용합니다,빠르고 편하게 이용합니다
평점5,DOSU,tkwo****,23.05.24.,순하고 달달해서 맛있어요,순하고 달달해서 맛있어요
평점4,술픽,doux****,23.05.22.,생각보다 많이 달지않고 목넘김도 좋고 깔끔,생각보다 많이 달지않고 목넘김도 좋고 깔끔
평점5,DOSU,seob****,23.05.22.,목넘김이 부드러워 여성용이요,목넘김이 부드러워 여성용이요
평점5,DOSU,fear****,23.05.21.,꿀막걸리라 부드럽고 달달해서 맛있었습니더,꿀막걸리라 부드럽고 달달해서 맛있었습니더
평점4,DOSU,jung****,23.05.21.,배송빠르게 잘 받았습니다,배송빠르게 잘 받았습니다
평점5,DOSU,godt****,23.05.20.,맛있고 신선하게 배달왓어요,맛있고 신선하게 배달왓어요
평점5,술픽,dios****,23.05.20.,단맛 심하지 않고 탁주처럼 많이 걸쭉하지 않고 모든 것이 적당한 맛있는 막걸리입니다.탁주처럼 걸쭉하지 않아 마시기가 수월하네요.,단맛 심하지 않고 탁주처럼 많이 걸쭉하지 않고 모든 것이 적당한 맛있는 막걸리입니다.탁주처럼 걸쭉하지 않아 마시기가 수월하네요.
평점5,DOSU,y830****,23.05.19.,맛있네요~ 재주문할게요^^,맛있네요~ 재주문할게요^^
평점5,DOSU,ecro****,23.05.18.,목넘김이 매우 깔끔해서 좋았어요!,목넘김이 매우 깔끔해서 좋았어요!
평점5,술픽,redt****,23.05.18.,매우 만족하는 술입니다.,매우 만족하는 술입니다.
평점3,DOSU,tlad****,23.05.18.,아직먹어보질못햇ㅇㅅ지만좋아요,아직먹어보질못햇ㅇㅅ지만좋아요
평점5,술픽,pure****,23.05.16.,배송이 빨라서 너무 좋았고 아이스팩이랑 더운 날씨에도 열이 차단되는 박스에 와서 더 좋았습니다~ 자주 쓰게될 사이트 같아요!,배송이 빨라서 너무 좋았고 아이스팩이랑 더운 날씨에도 열이 차단되는 박스에 와서 더 좋았습니다~ 자주 쓰게될 사이트 같아요!
평점5,술픽,bobb****,23.05.16.,달달하고 맛있는 술이라 종종 재구매 할거같아요,달달하고 맛있는 술이라 종종 재구매 할거같아요
평점5,DOSU,ilov****,23.05.16.,맛있네요 ㅎㅎ 재구매하려규요,맛있네요 ㅎㅎ 재구매하려규요
평점5,DOSU,juco****,23.05.15.,매번 시키는건데 배송도 빠르고 만족합니다,매번 시키는건데 배송도 빠르고 만족합니다
평점5,술팜 전통주 쇼핑몰,dool****,23.05.15.,기대됩니다~ 처음접해보네요,기대됩니다~ 처음접해보네요
평점5,우리술상회,feed****,23.05.15.,늘 구매하는 상품입니다,늘 구매하는 상품입니다
평점5,DOSU,seul****,23.05.15.,잘 받았습니다 만족합니다 번창하세요.,잘 받았습니다 만족합니다 번창하세요.
평점5,술픽,zilz****,23.05.14.,배송빠르고 입맛에 맞는술 찾는중입니다 이것도 괜찮네요,배송빠르고 입맛에 맞는술 찾는중입니다 이것도 괜찮네요
평점5,술픽,kkrp****,23.05.14.,음식점에서 먹고 맛있어서 구매한 막걸리입니다달달하고 맛있어요~,"음식점에서 먹고 맛있어서 구매한 막걸리입니다
달달하고 맛있어요~"
